Blog	here	want	how	re	that	than	best	and	much	life	things	had	has	old	people	for	when	time	so	years	one	going	where	many	s	around	world	her	with	an	as	at	to	th	more	its	also	see	d	be	by	into	up	us	video	next	on	this	could	lot	should	ve	site	three	all	work	very	after	then	them	they	last	what	do	we	com	the	post	months	was	live	can	still	not	now	year	only	these	media	read	early	using	t	your	you	a	help	off	look	some	go	she	i	well	he	even	while	new	before	don	m	said	appeared	is	it	in	if	make	just	down	did	may	thing	first	little	were	show	get	money	again	two	good	most	find	big	google	back	ll	day	have	like	about	but	would	me	my	over	each	got	free	too	been	no	today	way	any	week	of	or	there	might	story	his	are	use	from	few	something	our	out	their	which	who	why	will	other	know	because	own	made
Joho the Blog	0	1	0	1	6	1	0	11	0	0	2	2	5	4	1	3	1	0	3	2	2	0	0	0	7	0	2	1	7	5	3	2	16	0	3	6	2	1	1	1	4	1	1	0	1	0	3	4	0	2	1	0	0	0	1	0	0	0	1	0	1	0	1	3	0	0	20	0	0	2	0	2	0	1	0	1	0	0	0	1	0	2	3	1	5	13	0	0	1	1	0	0	14	1	1	0	0	2	0	0	2	0	0	6	12	12	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3	3	1	3	1	4	1	1	0	0	1	0	1	4	1	0	0	0	10	1	1	0	0	3	1	0	5	1	1	0	2	1	1	1	1	1	1	3	0	0	0
ongoing by Tim Bray	3	0	0	11	9	1	0	32	1	1	0	0	1	0	0	8	2	0	5	1	3	0	3	1	13	0	0	0	9	2	1	2	13	0	5	3	0	2	2	6	3	0	0	2	4	0	10	6	0	1	2	2	0	2	2	3	2	0	2	1	4	0	3	1	4	3	35	1	0	2	0	2	1	3	3	2	0	1	0	3	0	0	4	3	7	33	2	0	3	6	2	0	34	0	0	4	2	3	0	1	7	1	0	12	19	28	0	0	5	0	0	0	6	1	0	1	0	3	0	0	0	2	4	2	2	1	1	0	2	5	1	5	5	0	3	9	1	0	1	1	2	2	1	0	2	3	0	20	7	3	3	1	0	3	2	6	0	1	2	3	0	2	1	0	1	1	1	1	0	0
Neil Gaiman's Journal	38	18	33	16	228	13	7	705	35	16	58	71	30	17	63	176	63	46	61	20	49	36	16	16	214	14	25	30	130	75	83	95	469	14	34	12	21	16	35	116	78	27	43	56	3	15	173	105	31	8	16	29	4	15	60	16	26	15	22	38	75	31	62	40	186	29	996	10	12	162	4	56	16	72	28	43	24	12	6	24	3	7	82	24	202	438	11	9	14	38	16	44	425	15	81	20	17	75	22	12	63	32	0	146	368	316	53	26	17	6	23	13	21	33	9	56	11	34	16	8	26	38	12	12	7	1	35	29	20	80	62	104	79	41	89	69	27	10	15	8	21	44	16	6	18	14	19	398	92	52	7	20	54	82	11	100	16	21	33	69	29	48	52	16	56	22	16	31	8	20
Joel on Software	9	28	20	47	163	15	6	222	8	1	15	11	18	3	44	67	21	12	57	5	17	14	8	6	58	12	11	0	52	22	32	32	290	2	21	3	4	9	5	46	16	13	37	14	0	4	66	47	13	12	5	4	6	8	42	18	9	4	8	24	74	3	25	31	135	3	339	4	3	35	5	50	9	23	21	5	6	9	0	4	3	15	67	31	175	222	10	6	5	23	13	0	52	11	1	18	9	22	4	22	7	3	1	106	99	103	32	22	30	4	4	4	7	16	13	11	2	31	18	3	8	6	12	10	12	4	5	13	2	51	23	26	36	13	14	10	9	6	9	12	7	9	5	10	20	17	0	188	41	22	18	2	0	52	13	22	9	11	34	24	21	26	18	9	21	16	14	18	9	4
Steve Pavlina	3	2	5	3	11	1	1	26	0	4	0	0	1	0	26	33	1	0	7	1	3	0	0	3	11	0	0	1	9	3	1	4	39	1	3	2	0	1	5	9	3	0	4	0	2	0	25	7	1	1	0	2	2	0	4	6	0	0	0	0	5	0	3	0	3	6	64	20	0	0	1	3	0	0	1	0	1	0	0	1	0	0	7	14	14	20	1	0	0	2	1	0	23	0	0	1	1	6	1	1	6	0	20	18	10	13	15	3	0	0	0	3	0	24	0	2	0	0	0	2	0	1	0	1	0	0	0	1	1	7	2	5	2	1	1	6	0	5	0	3	2	4	0	0	1	2	1	20	8	1	0	0	0	3	0	7	0	0	4	0	1	3	1	1	3	2	2	0	2	0
The Full Feed from HuffingtonPost.com	0	0	0	2	4	2	0	16	0	0	0	4	1	0	0	5	0	1	2	1	2	0	0	0	17	1	0	0	0	1	5	3	20	2	24	2	1	1	5	0	1	1	0	0	0	1	19	4	4	0	0	1	0	1	1	0	2	2	0	0	2	0	4	1	1	0	48	2	0	6	0	3	0	2	1	1	0	0	0	10	0	0	5	0	5	17	0	1	1	1	0	1	1	0	2	2	0	1	0	2	1	1	0	6	5	28	3	0	1	1	0	0	1	6	0	7	0	1	0	1	0	2	3	0	0	0	3	0	0	6	3	2	4	1	0	0	0	0	1	0	0	3	0	0	0	2	0	15	2	0	0	0	5	2	0	3	0	0	0	0	1	0	4	0	1	1	1	0	0	4
Kotaku	2	1	3	3	14	0	5	14	1	0	3	0	12	1	1	14	1	3	3	4	5	1	3	1	29	1	4	1	9	5	6	5	25	0	26	4	2	0	2	4	5	1	3	3	1	2	10	5	0	2	0	1	0	0	4	1	0	1	2	4	0	2	0	0	4	2	50	0	0	1	0	9	1	3	4	2	3	0	0	26	0	1	4	3	12	46	0	2	0	2	1	0	3	0	3	2	1	5	0	0	0	2	0	14	17	19	5	1	3	1	1	0	0	0	0	2	0	0	0	2	1	1	0	0	0	0	2	1	0	6	3	2	8	1	1	1	2	0	3	1	2	6	2	3	0	3	2	41	5	0	0	2	1	1	1	3	1	1	4	1	1	1	0	0	0	1	1	1	1	1
Scobleizer	12	0	6	0	7	0	0	28	3	0	0	0	4	0	2	7	1	0	0	5	3	3	3	1	8	2	7	0	6	0	3	8	33	1	5	2	2	1	0	4	2	2	3	3	1	7	37	12	2	1	1	7	0	0	0	0	2	1	2	0	0	2	5	1	2	4	77	20	0	8	0	3	1	0	6	1	0	1	4	0	0	2	7	0	10	13	0	1	1	6	1	0	36	3	0	1	1	7	0	2	8	0	15	18	18	13	2	2	2	0	0	0	3	18	0	0	4	2	1	0	1	1	0	1	1	16	5	3	0	6	5	11	1	0	6	11	8	3	4	0	3	2	5	1	2	0	1	34	7	4	6	0	0	6	0	3	0	4	9	4	0	2	3	9	7	4	1	2	0	0
Derek Powazek	6	1	7	7	19	2	1	70	1	5	1	3	5	2	2	33	11	4	7	5	13	4	0	1	43	1	3	9	17	5	10	7	52	0	6	1	2	3	2	7	5	4	11	4	0	1	14	9	1	1	1	11	2	4	10	3	1	4	7	2	6	7	9	7	7	1	97	3	2	13	2	8	4	6	10	4	1	2	2	0	1	1	10	6	19	62	0	1	0	3	4	7	69	2	5	1	1	5	1	4	12	3	0	17	39	35	9	1	11	2	4	0	4	3	7	2	3	6	3	2	9	1	2	1	1	0	2	4	2	3	9	9	14	0	15	22	5	1	1	0	2	8	2	2	0	0	3	39	5	7	1	3	3	11	0	5	5	8	3	9	4	2	1	1	5	3	6	3	2	2
Captain's Quarters	0	0	1	0	9	2	1	12	0	0	0	3	7	0	0	8	2	1	0	2	2	0	0	0	4	0	1	1	4	1	4	5	22	0	3	3	2	0	0	4	4	2	1	3	0	1	14	1	0	0	2	0	1	0	0	1	0	3	0	0	2	0	0	0	1	0	50	1	2	1	0	1	1	3	0	0	1	0	1	0	0	0	1	0	2	20	0	1	1	1	0	1	3	1	6	1	1	0	0	0	0	0	0	0	2	14	1	0	0	2	3	0	0	2	0	0	1	0	1	1	0	0	0	0	1	0	2	0	2	2	0	3	1	1	2	2	1	1	1	0	1	2	1	2	0	0	1	20	0	0	0	4	6	0	1	3	1	0	0	4	6	0	1	0	5	2	0	0	0	0
